,Unnamed: 0,Rank by Population,City,State,Population,Change,Area,Population Density
42,42,43,Long Beach,California,466742.0,-2.29,50.7,9206.0
43,43,44,Miami,Florida,442241.0,-0.53,36.0,12284.0
44,44,45,Oakland,California,440646.0,-1.55,55.9,7883.0
45,45,46,Minneapolis,Minnesota,429954.0,-1.07,54.0,7962.0
46,46,47,Tulsa,Oklahoma,413066.0,-0.4,197.5,2091.0
47,47,48,Bakersfield,California,403455.0,1.03,149.8,2693.0
48,48,49,Wichita,Kansas,397532.0,-0.46,162.0,2454.0
49,49,50,Arlington,Texas,394266.0,-0.38,95.9,4111.0
50,50,51,Aurora,Colorado,386261.0,0.8,160.1,2413.0
51,51,52,Tampa,Florida,384959.0,0.54,114.0,3377.0
52,52,53,New Orleans[n],Louisiana,383997.0,-1.83,169.5,2265.0
53,53,54,Cleveland,Ohio,372624.0,-1.24,77.7,4796.0
54,54,55,Anaheim,California,346824.0,-0.25,50.3,6895.0
55,55,56,Honolulu[o],Hawaii,350964.0,-1.55,60.5,5801.0
56,56,57,Henderson,Nevada,317610.0,1.44,106.2,2991.0
57,57,58,Stockton,California,320804.0,0.41,62.2,5158.0
58,58,59,Lexington[p],Kentucky,322570.0,-0.24,283.6,1137.0
59,59,60,Corpus Christi,Texas,317863.0,-0.03,162.2,1960.0
60,60,61,Riverside,California,314998.0,0.72,81.2,3879.0
61,61,62,Santa Ana,California,310227.0,-0.25,27.3,11364.0
62,62,63,Orlando,Florida,307573.0,0.51,110.6,2781.0
63,63,64,Irvine,California,307670.0,0.44,65.6,4690.0
64,64,65,Cincinnati,Ohio,309317.0,-0.12,77.8,3976.0
65,65,66,Newark,New Jersey,311549.0,-1.39,24.1,12927.0
66,66,67,Saint Paul,Minnesota,311527.0,-1.39,52.0,5991.0
67,67,68,Pittsburgh,Pennsylvania,302971.0,-0.84,55.4,5469.0
68,68,69,Greensboro,North Carolina,299035.0,-0.26,129.6,2307.0
69,69,70,St. Louis[m],Missouri,301578.0,-2.74,61.7,4888.0
70,70,71,Lincoln,Nebraska,291082.0,0.54,97.7,2979.0
71,71,72,Plano,Texas,285494.0,0.97,71.7,3982.0
72,72,73,Anchorage[q],Alaska,291247.0,-1.07,1706.8,171.0
73,73,74,Durham,North Carolina,283506.0,0.71,112.8,2513.0
74,74,75,Jersey City,New Jersey,292449.0,-2.91,14.7,19894.0
75,75,76,Chandler,Arizona,275987.0,1.26,65.3,4226.0
76,76,77,Chula Vista,California,275487.0,0.63,49.6,5554.0
77,77,78,Buffalo,New York,278349.0,-0.55,40.4,6890.0
78,78,79,North Las Vegas,Nevada,262527.0,4.42,101.3,2592.0
79,79,80,Gilbert[r],Arizona,267918.0,1.95,68.6,3906.0
80,80,81,Madison,Wisconsin,269840.0,-0.24,79.6,3390.0
81,81,82,Reno,Nevada,264165.0,1.77,108.8,2428.0
82,82,83,Toledo,Ohio,270871.0,-0.87,80.5,3365.0
83,83,84,Fort Wayne,Indiana,263886.0,0.79,110.7,2384.0
84,84,85,Lubbock,Texas,257141.0,1.5,134.6,1910.0
85,85,86,St. Petersburg,Florida,258308.0,-0.04,61.8,4180.0
